软件名称,RPM名称,软件包名称,功能说明,详细情况,依赖关系
pciutils,libpci3-3.7.0-r0.aarch64.rpm,libpci3,PCI实用程序库,libpci提供了对PCI配置空间的访问,libc6 >= 2.34+10.3.1 libz1 >= 1.2.11 
pciutils,pciutils-3.7.0-r0.aarch64.rpm,pciutils,Linux内核的PCI实用程序,lspci：此程序显示有关系统中所有PCI总线和设备的详细信息，取代原始的/proc/pci接口；setpci：此程序允许读取和写入PCI设备配置寄存器。例如，您可以使用它调整延迟计时器；update-pciids：此程序下载pci.ids文件的当前版本。,libc6 >= 2.34+10.3.1 libkmod2 >= 30 libpci3 >= 3.7.0 libz1 >= 1.2.11 pciutils-ids 
pciutils,pciutils-ids-3.7.0-r0.aarch64.rpm,pciutils-ids,存放系统所有支持和不支持的硬件信息,提供/usr/share/hwdata/pci.ids.gz,
policycoreutils,policycoreutils-3.3-r0.aarch64.rpm,policycoreutils,显示当前seinux信息修改selinux策略内各项规则的布尔值,提供/etc/pam.d、/sbin/setsebool、/usr/bin/sestatus和/var/lib/selinux,libc6 >= 2.34+10.3.1 libselinux1 >= 3.3 libsemanage2 >= 3.3 
policycoreutils,policycoreutils-fixfiles-3.3-r0.aarch64.rpm,policycoreutils-fixfiles,检查或矫正文件系统中的安全环境数据库,提供/sbin/fixfiles,policycoreutils-setfiles 
policycoreutils,policycoreutils-hll-3.3-r0.aarch64.rpm,policycoreutils-hll,提供/usr/libexec/selinux/hll/pp,提供/usr/libexec/selinux/hll/pp,libc6 >= 2.34+10.3.1 libsepol2 >= 3.3 
policycoreutils,policycoreutils-loadpolicy-3.3-r0.aarch64.rpm,policycoreutils-loadpolicy,装载或替换新的二进制策略到内核中保持使用当前的Bootlean值,提供/sbin/load_policy,libc6 >= 2.34+10.3.1 libselinux1 >= 3.3 libsepol2 >= 3.3 
policycoreutils,policycoreutils-semodule-3.3-r0.aarch64.rpm,policycoreutils-semodule,可以显示、加载、删除模块,提供/sbin/semodule,libc6 >= 2.34+10.3.1 libselinux libsemanage2 >= 3.3 libsepol2 >= 3.3 
policycoreutils,policycoreutils-sestatus-3.3-r0.aarch64.rpm,policycoreutils-sestatus,显示系统的详细状态,提供/etc/sestatus.conf和/sbin/sestatus,libselinux policycoreutils 
policycoreutils,policycoreutils-setfiles-3.3-r0.aarch64.rpm,policycoreutils-setfiles,恢复或更改一部分文件的标签,提供/sbin/restorecon、/sbin/restorecon_xattr和/sbin/setfiles,libc6 >= 2.34+10.3.1 libselinux1 >= 3.3 libsepol2 >= 3.3 
popt,libpopt0-1.18-r0.aarch64.rpm,libpopt0,一个用于解析命令行参数的C库,Popt是一个用于解析命令行参数的C库。Popt受到getopt()和getopt_long()函数的严重影响。它通过允许更强大的参数扩展来改进它们。Popt可以解析任意argv[]样式数组，并根据命令行参数自动设置变量。Popt允许通过配置文件别名命令行参数，并包括用于使用类似shell的规则将任意字符串解析为argv[]数组的实用程序函数。,libc6 >= 2.34+10.3.1 
procps,libprocps8-3.3.17-r0.aarch64.rpm,libprocps8,procps库,procps库可用于从/proc读取进程信息pseudo-file系统中的信息。,libc6 >= 2.34+10.3.1 
